date,store_id,sku,category,sales_qty,price,base_price,inventory_level,promo_flag,holiday_flag,marketing_index,is_weekend,lead_time_days
2023-02-06,STORE001,SKU001,home,128,62.58,62.58,11396,0,0,0.1,0,7
2023-02-07,STORE001,SKU001,home,185,62.58,62.58,15191,0,0,0.1,0,7
2023-02-08,STORE001,SKU001,home,158,62.58,62.58,19014,0,0,0.1,0,7
2023-02-09,STORE001,SKU001,home,154,62.58,62.58,22840,0,0,0.1,0,7
2023-02-10,STORE001,SKU001,home,188,62.58,62.58,26633,0,0,0.1,0,7
2023-02-11,STORE001,SKU001,home,216,62.58,62.58,26417,0,0,0.1,1,7
2023-02-12,STORE001,SKU001,home,227,62.58,62.58,26190,0,0,0.1,1,7
2023-02-13,STORE001,SKU001,home,163,62.58,62.58,26027,0,0,0.1,0,7
2023-02-14,STORE001,SKU001,home,281,63.56,62.58,25746,0,1,0.4,0,7
2023-02-15,STORE001,SKU001,home,198,62.58,62.58,25548,0,0,0.1,0,7
2023-02-16,STORE001,SKU001,home,238,62.58,62.58,25310,0,0,0.1,0,7
2023-02-17,STORE001,SKU001,home,146,62.58,62.58,25164,0,0,0.1,0,7
2023-02-18,STORE001,SKU001,home,230,62.58,62.58,24934,0,0,0.1,1,7
2023-02-19,STORE001,SKU001,home,216,62.58,62.58,24718,0,0,0.1,1,7
2023-02-20,STORE001,SKU001,home,187,62.58,62.58,24531,0,0,0.1,0,7
2023-02-21,STORE001,SKU001,home,168,62.58,62.58,24363,0,0,0.1,0,7
2023-02-22,STORE001,SKU001,home,157,62.58,62.58,24206,0,0,0.1,0,7
2023-02-23,STORE001,SKU001,home,137,62.58,62.58,24069,0,0,0.1,0,7
2023-02-24,STORE001,SKU001,home,152,62.58,62.58,23917,0,0,0.1,0,7
2023-02-25,STORE001,SKU001,home,228,62.58,62.58,23689,0,0,0.1,1,7
2023-02-26,STORE001,SKU001,home,236,62.58,62.58,23453,0,0,0.1,1,7
2023-02-27,STORE001,SKU001,home,195,62.58,62.58,23258,0,0,0.1,0,7
2023-02-28,STORE001,SKU001,home,176,62.58,62.58,23082,0,0,0.1,0,7
2023-03-01,STORE001,SKU001,home,178,62.58,62.58,22904,0,0,0.1,0,7
2023-03-02,STORE001,SKU001,home,201,62.58,62.58,22703,0,0,0.1,0,7
2023-03-03,STORE001,SKU001,home,175,62.58,62.58,22528,0,0,0.1,0,7
2023-03-04,STORE001,SKU001,home,247,62.58,62.58,22281,0,0,0.1,1,7
2023-03-05,STORE001,SKU001,home,217,62.58,62.58,22064,0,0,0.1,1,7
2023-03-06,STORE001,SKU001,home,200,62.58,62.58,21864,0,0,0.1,0,7
2023-03-07,STORE001,SKU001,home,167,62.58,62.58,21697,0,0,0.1,0,7
2023-03-08,STORE001,SKU001,home,116,62.58,62.58,21581,0,0,0.1,0,7
2023-03-09,STORE001,SKU001,home,181,62.58,62.58,21400,0,0,0.1,0,7
2023-03-10,STORE001,SKU001,home,165,62.58,62.58,21235,0,0,0.1,0,7
2023-03-11,STORE001,SKU001,home,227,62.58,62.58,21008,0,0,0.1,1,7
2023-03-12,STORE001,SKU001,home,273,62.58,62.58,20735,0,0,0.1,1,7
2023-03-13,STORE001,SKU001,home,131,62.58,62.58,20604,0,0,0.1,0,7
2023-03-14,STORE001,SKU001,home,154,62.58,62.58,20450,0,0,0.1,0,7
2023-03-15,STORE001,SKU001,home,205,62.58,62.58,20245,0,0,0.1,0,7
2023-03-16,STORE001,SKU001,home,175,62.58,62.58,20070,0,0,0.1,0,7
2023-03-17,STORE001,SKU001,home,139,62.58,62.58,19931,0,0,0.1,0,7
2023-03-18,STORE001,SKU001,home,234,62.58,62.58,19697,0,0,0.1,1,7
2023-03-19,STORE001,SKU001,home,271,62.58,62.58,19426,0,0,0.1,1,7
2023-03-20,STORE001,SKU001,home,186,62.58,62.58,19240,0,0,0.1,0,7
2023-03-21,STORE001,SKU001,home,170,62.58,62.58,19070,0,0,0.1,0,7
2023-03-22,STORE001,SKU001,home,164,62.58,62.58,18906,0,0,0.1,0,7
2023-03-23,STORE001,SKU001,home,167,62.58,62.58,18739,0,0,0.1,0,7
2023-03-24,STORE001,SKU001,home,183,62.58,62.58,18556,0,0,0.1,0,7
2023-03-25,STORE001,SKU001,home,230,62.58,62.58,18326,0,0,0.1,1,7
2023-03-26,STORE001,SKU001,home,239,62.58,62.58,18087,0,0,0.1,1,7
2023-03-27,STORE001,SKU001,home,193,62.58,62.58,17894,0,0,0.1,0,7
2023-03-28,STORE001,SKU001,home,159,62.58,62.58,17735,0,0,0.1,0,7
2023-03-29,STORE001,SKU001,home,206,62.58,62.58,17529,0,0,0.1,0,7
2023-03-30,STORE001,SKU001,home,207,62.58,62.58,17322,0,0,0.1,0,7
2023-03-31,STORE001,SKU001,home,206,62.58,62.58,17116,0,0,0.1,0,7
2023-04-01,STORE001,SKU001,home,337,58.07,62.58,16779,0,1,0.4,1,7
2023-04-02,STORE001,SKU001,home,239,62.58,62.58,16540,0,0,0.1,1,7
2023-04-03,STORE001,SKU001,home,213,62.58,62.58,16327,0,0,0.1,0,7
2023-04-04,STORE001,SKU001,home,195,62.58,62.58,16132,0,0,0.1,0,7
2023-04-05,STORE001,SKU001,home,177,62.58,62.58,15955,0,0,0.1,0,7
2023-04-06,STORE001,SKU001,home,168,62.58,62.58,15787,0,0,0.1,0,7
2023-04-07,STORE001,SKU001,home,190,62.58,62.58,15597,0,0,0.1,0,7
2023-04-08,STORE001,SKU001,home,200,62.58,62.58,15397,0,0,0.1,1,7
2023-04-09,STORE001,SKU001,home,270,62.58,62.58,15127,0,0,0.1,1,7
2023-04-10,STORE001,SKU001,home,278,41.82,62.58,14849,1,0,0.8,0,7
2023-04-11,STORE001,SKU001,home,296,47.78,62.58,14553,1,0,0.8,0,7
2023-04-12,STORE001,SKU001,home,306,44.18,62.58,14247,1,0,0.8,0,7
2023-04-13,STORE001,SKU001,home,299,41.79,62.58,13948,1,0,0.8,0,7
2023-04-14,STORE001,SKU001,home,324,46.63,62.58,13624,1,0,0.8,0,7
2023-04-15,STORE001,SKU001,home,583,38.6,62.58,13041,1,0,0.8,1,7
2023-04-16,STORE001,SKU001,home,458,45.14,62.58,12583,1,0,0.8,1,7
2023-04-17,STORE001,SKU001,home,270,37.61,62.58,12313,1,0,0.8,0,7
2023-04-18,STORE001,SKU001,home,160,62.58,62.58,12153,0,0,0.1,0,7
2023-04-19,STORE001,SKU001,home,178,62.58,62.58,11975,0,0,0.1,0,7
2023-04-20,STORE001,SKU001,home,148,62.58,62.58,11827,0,0,0.1,0,7
2023-04-21,STORE001,SKU001,home,197,62.58,62.58,11630,0,0,0.1,0,7
2023-04-22,STORE001,SKU001,home,255,62.58,62.58,11375,0,0,0.1,1,7
2023-04-23,STORE001,SKU001,home,239,62.58,62.58,11136,0,0,0.1,1,7
2023-04-24,STORE001,SKU001,home,149,62.58,62.58,10987,0,0,0.1,0,7
2023-04-25,STORE001,SKU001,home,190,62.58,62.58,10797,0,0,0.1,0,7
2023-04-26,STORE001,SKU001,home,200,62.58,62.58,10597,0,0,0.1,0,7
2023-04-27,STORE001,SKU001,home,182,62.58,62.58,10415,0,0,0.1,0,7
2023-04-28,STORE001,SKU001,home,193,62.58,62.58,10222,0,0,0.1,0,7
2023-04-29,STORE001,SKU001,home,239,62.58,62.58,9983,0,0,0.1,1,7
2023-04-30,STORE001,SKU001,home,210,62.58,62.58,9773,0,0,0.1,1,7
2023-05-01,STORE001,SKU001,home,190,62.58,62.58,9583,0,0,0.1,0,7
2023-05-02,STORE001,SKU001,home,166,62.58,62.58,9417,0,0,0.1,0,7
2023-05-03,STORE001,SKU001,home,197,62.58,62.58,9220,0,0,0.1,0,7
2023-05-04,STORE001,SKU001,home,182,62.58,62.58,9038,0,0,0.1,0,7
2023-05-05,STORE001,SKU001,home,229,62.58,62.58,8809,0,0,0.1,0,7
2023-05-06,STORE001,SKU001,home,238,62.58,62.58,8571,0,0,0.1,1,7
2023-05-07,STORE001,SKU001,home,198,62.58,62.58,8373,0,0,0.1,1,7
2023-05-08,STORE001,SKU001,home,190,62.58,62.58,8183,0,0,0.1,0,7
2023-05-09,STORE001,SKU001,home,170,62.58,62.58,8013,0,0,0.1,0,7
2023-05-10,STORE001,SKU001,home,165,62.58,62.58,7848,0,0,0.1,0,7
2023-05-11,STORE001,SKU001,home,165,62.58,62.58,7683,0,0,0.1,0,7
2023-05-12,STORE001,SKU001,home,183,62.58,62.58,7500,0,0,0.1,0,7
2023-05-13,STORE001,SKU001,home,241,62.58,62.58,7259,0,0,0.1,1,7
2023-05-14,STORE001,SKU001,home,219,62.58,62.58,7040,0,0,0.1,1,7
2023-05-15,STORE001,SKU001,home,146,62.58,62.58,6894,0,0,0.1,0,7
2023-05-16,STORE001,SKU001,home,155,62.58,62.58,6739,0,0,0.1,0,7
2023-05-17,STORE001,SKU001,home,180,62.58,62.58,6559,0,0,0.1,0,7
2023-05-18,STORE001,SKU001,home,167,62.58,62.58,6392,0,0,0.1,0,7
2023-05-19,STORE001,SKU001,home,178,62.58,62.58,6214,0,0,0.1,0,7
2023-05-20,STORE001,SKU001,home,244,62.58,62.58,5970,0,0,0.1,1,7
2023-05-21,STORE001,SKU001,home,257,62.58,62.58,5713,0,0,0.1,1,7
2023-05-22,STORE001,SKU001,home,164,62.58,62.58,5549,0,0,0.1,0,7
2023-05-23,STORE001,SKU001,home,181,62.58,62.58,5368,0,0,0.1,0,7
2023-05-24,STORE001,SKU001,home,185,62.58,62.58,5183,0,0,0.1,0,7
2023-05-25,STORE001,SKU001,home,140,62.58,62.58,5043,0,0,0.1,0,7
2023-05-26,STORE001,SKU001,home,190,62.58,62.58,4853,0,0,0.1,0,7
2023-05-27,STORE001,SKU001,home,223,62.58,62.58,4630,0,0,0.1,1,7
2023-05-28,STORE001,SKU001,home,253,62.58,62.58,4377,0,0,0.1,1,7
2023-05-29,STORE001,SKU001,home,159,62.58,62.58,4218,0,0,0.1,0,7
2023-05-30,STORE001,SKU001,home,177,62.58,62.58,4041,0,0,0.1,0,7
2023-05-31,STORE001,SKU001,home,189,62.58,62.58,3852,0,0,0.1,0,7
2023-06-01,STORE001,SKU001,home,157,62.58,62.58,3695,0,0,0.1,0,7
2023-06-02,STORE001,SKU001,home,185,62.58,62.58,3510,0,0,0.1,0,7
2023-06-03,STORE001,SKU001,home,254,62.58,62.58,3256,0,0,0.1,1,7
2023-06-04,STORE001,SKU001,home,212,62.58,62.58,3044,0,0,0.1,1,7
2023-06-05,STORE001,SKU001,home,123,62.58,62.58,2921,0,0,0.1,0,7
2023-06-06,STORE001,SKU001,home,158,62.58,62.58,2763,0,0,0.1,0,7
2023-06-07,STORE001,SKU001,home,135,62.58,62.58,2628,0,0,0.1,0,7
2023-06-08,STORE001,SKU001,home,152,62.58,62.58,2476,0,0,0.1,0,7
2023-06-09,STORE001,SKU001,home,141,62.58,62.58,2335,0,0,0.1,0,7
2023-06-10,STORE001,SKU001,home,229,62.58,62.58,2106,0,0,0.1,1,7
2023-06-11,STORE001,SKU001,home,152,62.58,62.58,1954,0,0,0.1,1,7
2023-06-12,STORE001,SKU001,home,131,62.58,62.58,1823,0,0,0.1,0,7
2023-06-13,STORE001,SKU001,home,143,62.58,62.58,1680,0,0,0.1,0,7
2023-06-14,STORE001,SKU001,home,183,62.58,62.58,1497,0,0,0.1,0,7
2023-06-15,STORE001,SKU001,home,152,62.58,62.58,1345,0,0,0.1,0,7
2023-06-16,STORE001,SKU001,home,160,62.58,62.58,1185,0,0,0.1,0,7
2023-06-17,STORE001,SKU001,home,158,62.58,62.58,1027,0,0,0.1,1,7
2023-06-18,STORE001,SKU001,home,234,62.58,62.58,793,0,0,0.1,1,7
2023-06-19,STORE001,SKU001,home,186,62.58,62.58,607,0,0,0.1,0,7
2023-06-20,STORE001,SKU001,home,175,62.58,62.58,432,0,0,0.1,0,7
2023-06-21,STORE001,SKU001,home,163,62.58,62.58,269,0,0,0.1,0,7
2023-06-22,STORE001,SKU001,home,145,62.58,62.58,124,0,0,0.1,0,7
2023-06-23,STORE001,SKU001,home,124,62.58,62.58,0,0,0,0.1,0,7
2023-06-24,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,1,7
2023-06-25,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,1,7
2023-06-26,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,0,7
2023-06-27,STORE001,SKU001,home,177,62.58,62.58,3803,0,0,0.1,0,7
2023-06-28,STORE001,SKU001,home,133,62.58,62.58,7651,0,0,0.1,0,7
2023-06-29,STORE001,SKU001,home,133,62.58,62.58,11498,0,0,0.1,0,7
2023-06-30,STORE001,SKU001,home,146,62.58,62.58,15333,0,0,0.1,0,7
2023-07-01,STORE001,SKU001,home,168,62.58,62.58,19146,0,0,0.1,1,7
2023-07-02,STORE001,SKU001,home,207,62.58,62.58,22919,0,0,0.1,1,7
2023-07-03,STORE001,SKU001,home,172,62.58,62.58,26728,0,0,0.1,0,7
2023-07-04,STORE001,SKU001,home,108,62.58,62.58,26620,0,0,0.1,0,7
2023-07-05,STORE001,SKU001,home,175,62.58,62.58,26445,0,0,0.1,0,7
2023-07-06,STORE001,SKU001,home,119,62.58,62.58,26326,0,0,0.1,0,7
2023-07-07,STORE001,SKU001,home,107,62.58,62.58,26219,0,0,0.1,0,7
2023-07-08,STORE001,SKU001,home,207,62.58,62.58,26012,0,0,0.1,1,7
2023-07-09,STORE001,SKU001,home,201,62.58,62.58,25811,0,0,0.1,1,7
2023-07-10,STORE001,SKU001,home,132,62.58,62.58,25679,0,0,0.1,0,7
2023-07-11,STORE001,SKU001,home,112,62.58,62.58,25567,0,0,0.1,0,7
2023-07-12,STORE001,SKU001,home,103,62.58,62.58,25464,0,0,0.1,0,7
2023-07-13,STORE001,SKU001,home,128,62.58,62.58,25336,0,0,0.1,0,7
2023-07-14,STORE001,SKU001,home,87,62.58,62.58,25249,0,0,0.1,0,7
2023-07-15,STORE001,SKU001,home,157,62.58,62.58,25092,0,0,0.1,1,7
2023-07-16,STORE001,SKU001,home,182,62.58,62.58,24910,0,0,0.1,1,7
2023-07-17,STORE001,SKU001,home,118,62.58,62.58,24792,0,0,0.1,0,7
2023-07-18,STORE001,SKU001,home,128,62.58,62.58,24664,0,0,0.1,0,7
2023-07-19,STORE001,SKU001,home,177,62.58,62.58,24487,0,0,0.1,0,7
2023-07-20,STORE001,SKU001,home,135,62.58,62.58,24352,0,0,0.1,0,7
2023-07-21,STORE001,SKU001,home,145,62.58,62.58,24207,0,0,0.1,0,7
2023-07-22,STORE001,SKU001,home,164,62.58,62.58,24043,0,0,0.1,1,7
2023-07-23,STORE001,SKU001,home,140,62.58,62.58,23903,0,0,0.1,1,7
2023-07-24,STORE001,SKU001,home,137,62.58,62.58,23766,0,0,0.1,0,7
2023-07-25,STORE001,SKU001,home,125,62.58,62.58,23641,0,0,0.1,0,7
2023-07-26,STORE001,SKU001,home,81,62.58,62.58,23560,0,0,0.1,0,7
2023-07-27,STORE001,SKU001,home,149,62.58,62.58,23411,0,0,0.1,0,7
2023-07-28,STORE001,SKU001,home,108,62.58,62.58,23303,0,0,0.1,0,7
2023-07-29,STORE001,SKU001,home,215,62.58,62.58,23088,0,0,0.1,1,7
2023-07-30,STORE001,SKU001,home,194,62.58,62.58,22894,0,0,0.1,1,7
2023-07-31,STORE001,SKU001,home,117,62.58,62.58,22777,0,0,0.1,0,7
2023-08-01,STORE001,SKU001,home,108,62.58,62.58,22669,0,0,0.1,0,7
2023-08-02,STORE001,SKU001,home,122,62.58,62.58,22547,0,0,0.1,0,7
2023-08-03,STORE001,SKU001,home,190,39.03,62.58,22357,1,0,0.8,0,7
2023-08-04,STORE001,SKU001,home,251,45.42,62.58,22106,1,0,0.8,0,7
2023-08-05,STORE001,SKU001,home,349,39.77,62.58,21757,1,0,0.8,1,7
2023-08-06,STORE001,SKU001,home,370,49.94,62.58,21387,1,0,0.8,1,7
2023-08-07,STORE001,SKU001,home,234,41.81,62.58,21153,1,0,0.8,0,7
2023-08-08,STORE001,SKU001,home,234,48.29,62.58,20919,1,0,0.8,0,7
2023-08-09,STORE001,SKU001,home,224,38.84,62.58,20695,1,0,0.8,0,7
2023-08-10,STORE001,SKU001,home,260,43.87,62.58,20435,1,0,0.8,0,7
2023-08-11,STORE001,SKU001,home,102,62.58,62.58,20333,0,0,0.1,0,7
2023-08-12,STORE001,SKU001,home,192,62.58,62.58,20141,0,0,0.1,1,7
2023-08-13,STORE001,SKU001,home,146,62.58,62.58,19995,0,0,0.1,1,7
2023-08-14,STORE001,SKU001,home,98,62.58,62.58,19897,0,0,0.1,0,7
2023-08-15,STORE001,SKU001,home,152,62.58,62.58,19745,0,0,0.1,0,7
2023-08-16,STORE001,SKU001,home,134,62.58,62.58,19611,0,0,0.1,0,7
2023-08-17,STORE001,SKU001,home,72,62.58,62.58,19539,0,0,0.1,0,7
2023-08-18,STORE001,SKU001,home,100,62.58,62.58,19439,0,0,0.1,0,7
2023-08-19,STORE001,SKU001,home,171,62.58,62.58,19268,0,0,0.1,1,7
2023-08-20,STORE001,SKU001,home,179,62.58,62.58,19089,0,0,0.1,1,7
2023-08-21,STORE001,SKU001,home,93,62.58,62.58,18996,0,0,0.1,0,7
2023-08-22,STORE001,SKU001,home,108,62.58,62.58,18888,0,0,0.1,0,7
2023-08-23,STORE001,SKU001,home,62,62.58,62.58,18826,0,0,0.1,0,7
2023-08-24,STORE001,SKU001,home,145,62.58,62.58,18681,0,0,0.1,0,7
2023-08-25,STORE001,SKU001,home,100,62.58,62.58,18581,0,0,0.1,0,7
2023-08-26,STORE001,SKU001,home,152,62.58,62.58,18429,0,0,0.1,1,7
2023-08-27,STORE001,SKU001,home,148,62.58,62.58,18281,0,0,0.1,1,7
2023-08-28,STORE001,SKU001,home,135,62.58,62.58,18146,0,0,0.1,0,7
2023-08-29,STORE001,SKU001,home,96,62.58,62.58,18050,0,0,0.1,0,7
2023-08-30,STORE001,SKU001,home,109,62.58,62.58,17941,0,0,0.1,0,7
2023-08-31,STORE001,SKU001,home,117,62.58,62.58,17824,0,0,0.1,0,7
2023-09-01,STORE001,SKU001,home,123,62.58,62.58,17701,0,0,0.1,0,7
2023-09-02,STORE001,SKU001,home,99,62.58,62.58,17602,0,0,0.1,1,7
2023-09-03,STORE001,SKU001,home,125,62.58,62.58,17477,0,0,0.1,1,7
2023-09-04,STORE001,SKU001,home,89,62.58,62.58,17388,0,0,0.1,0,7
2023-09-05,STORE001,SKU001,home,132,62.58,62.58,17256,0,0,0.1,0,7
2023-09-06,STORE001,SKU001,home,59,62.58,62.58,17197,0,0,0.1,0,7
2023-09-07,STORE001,SKU001,home,136,62.58,62.58,17061,0,0,0.1,0,7
2023-09-08,STORE001,SKU001,home,96,62.58,62.58,16965,0,0,0.1,0,7
2023-09-09,STORE001,SKU001,home,141,62.58,62.58,16824,0,0,0.1,1,7
2023-09-10,STORE001,SKU001,home,154,62.58,62.58,16670,0,0,0.1,1,7
2023-09-11,STORE001,SKU001,home,118,62.58,62.58,16552,0,0,0.1,0,7
2023-09-12,STORE001,SKU001,home,112,62.58,62.58,16440,0,0,0.1,0,7
2023-09-13,STORE001,SKU001,home,103,62.58,62.58,16337,0,0,0.1,0,7
2023-09-14,STORE001,SKU001,home,70,62.58,62.58,16267,0,0,0.1,0,7
2023-09-15,STORE001,SKU001,home,82,62.58,62.58,16185,0,0,0.1,0,7
2023-09-16,STORE001,SKU001,home,157,62.58,62.58,16028,0,0,0.1,1,7
2023-09-17,STORE001,SKU001,home,126,62.58,62.58,15902,0,0,0.1,1,7
2023-09-18,STORE001,SKU001,home,110,62.58,62.58,15792,0,0,0.1,0,7
2023-09-19,STORE001,SKU001,home,101,62.58,62.58,15691,0,0,0.1,0,7
2023-09-20,STORE001,SKU001,home,149,62.58,62.58,15542,0,0,0.1,0,7
2023-09-21,STORE001,SKU001,home,108,62.58,62.58,15434,0,0,0.1,0,7
2023-09-22,STORE001,SKU001,home,90,62.58,62.58,15344,0,0,0.1,0,7
2023-09-23,STORE001,SKU001,home,183,62.58,62.58,15161,0,0,0.1,1,7
2023-09-24,STORE001,SKU001,home,139,62.58,62.58,15022,0,0,0.1,1,7
2023-09-25,STORE001,SKU001,home,120,62.58,62.58,14902,0,0,0.1,0,7
2023-09-26,STORE001,SKU001,home,68,62.58,62.58,14834,0,0,0.1,0,7
2023-09-27,STORE001,SKU001,home,116,62.58,62.58,14718,0,0,0.1,0,7
2023-09-28,STORE001,SKU001,home,96,62.58,62.58,14622,0,0,0.1,0,7
2023-09-29,STORE001,SKU001,home,70,62.58,62.58,14552,0,0,0.1,0,7
2023-09-30,STORE001,SKU001,home,117,62.58,62.58,14435,0,0,0.1,1,7
2023-10-01,STORE001,SKU001,home,157,62.58,62.58,14278,0,0,0.1,1,7
2023-10-02,STORE001,SKU001,home,58,62.58,62.58,14220,0,0,0.1,0,7
2023-10-03,STORE001,SKU001,home,107,62.58,62.58,14113,0,0,0.1,0,7
2023-10-04,STORE001,SKU001,home,112,62.58,62.58,14001,0,0,0.1,0,7
2023-10-05,STORE001,SKU001,home,120,62.58,62.58,13881,0,0,0.1,0,7
2023-10-06,STORE001,SKU001,home,115,62.58,62.58,13766,0,0,0.1,0,7
2023-10-07,STORE001,SKU001,home,168,62.58,62.58,13598,0,0,0.1,1,7
2023-10-08,STORE001,SKU001,home,152,62.58,62.58,13446,0,0,0.1,1,7
2023-10-09,STORE001,SKU001,home,93,62.58,62.58,13353,0,0,0.1,0,7
2023-10-10,STORE001,SKU001,home,106,62.58,62.58,13247,0,0,0.1,0,7
2023-10-11,STORE001,SKU001,home,76,62.58,62.58,13171,0,0,0.1,0,7
2023-10-12,STORE001,SKU001,home,107,62.58,62.58,13064,0,0,0.1,0,7
2023-10-13,STORE001,SKU001,home,98,62.58,62.58,12966,0,0,0.1,0,7
2023-10-14,STORE001,SKU001,home,149,62.58,62.58,12817,0,0,0.1,1,7
2023-10-15,STORE001,SKU001,home,164,62.58,62.58,12653,0,0,0.1,1,7
2023-10-16,STORE001,SKU001,home,98,62.58,62.58,12555,0,0,0.1,0,7
2023-10-17,STORE001,SKU001,home,99,62.58,62.58,12456,0,0,0.1,0,7
2023-10-18,STORE001,SKU001,home,106,62.58,62.58,12350,0,0,0.1,0,7
2023-10-19,STORE001,SKU001,home,108,62.58,62.58,12242,0,0,0.1,0,7
2023-10-20,STORE001,SKU001,home,134,62.58,62.58,12108,0,0,0.1,0,7
2023-10-21,STORE001,SKU001,home,163,62.58,62.58,11945,0,0,0.1,1,7
2023-10-22,STORE001,SKU001,home,147,62.58,62.58,11798,0,0,0.1,1,7
2023-10-23,STORE001,SKU001,home,67,62.58,62.58,11731,0,0,0.1,0,7
2023-10-24,STORE001,SKU001,home,73,62.58,62.58,11658,0,0,0.1,0,7
2023-10-25,STORE001,SKU001,home,114,62.58,62.58,11544,0,0,0.1,0,7
2023-10-26,STORE001,SKU001,home,126,62.58,62.58,11418,0,0,0.1,0,7
2023-10-27,STORE001,SKU001,home,136,62.58,62.58,11282,0,0,0.1,0,7
2023-10-28,STORE001,SKU001,home,146,62.58,62.58,11136,0,0,0.1,1,7
2023-10-29,STORE001,SKU001,home,129,62.58,62.58,11007,0,0,0.1,1,7
2023-10-30,STORE001,SKU001,home,106,62.58,62.58,10901,0,0,0.1,0,7
2023-10-31,STORE001,SKU001,home,138,62.58,62.58,10763,0,0,0.1,0,7
2023-11-01,STORE001,SKU001,home,108,62.58,62.58,10655,0,0,0.1,0,7
2023-11-02,STORE001,SKU001,home,130,62.58,62.58,10525,0,0,0.1,0,7
2023-11-03,STORE001,SKU001,home,127,62.58,62.58,10398,0,0,0.1,0,7
2023-11-04,STORE001,SKU001,home,147,62.58,62.58,10251,0,0,0.1,1,7
2023-11-05,STORE001,SKU001,home,167,62.58,62.58,10084,0,0,0.1,1,7
2023-11-06,STORE001,SKU001,home,125,62.58,62.58,9959,0,0,0.1,0,7
2023-11-07,STORE001,SKU001,home,97,62.58,62.58,9862,0,0,0.1,0,7
2023-11-08,STORE001,SKU001,home,100,62.58,62.58,9762,0,0,0.1,0,7
2023-11-09,STORE001,SKU001,home,70,62.58,62.58,9692,0,0,0.1,0,7
2023-11-10,STORE001,SKU001,home,139,62.58,62.58,9553,0,0,0.1,0,7
2023-11-11,STORE001,SKU001,home,143,62.58,62.58,9410,0,0,0.1,1,7
